년도,분기,개수
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,3,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
